Record_#,Drug_Name,DrugBank_ID,Molecular_Weight,LogP,Hydrogen_Bond_Donors,Hydrogen_Bond_Acceptors,TPSA,Rotatable_Bonds,Drug_Class,Target_Protein_UniProt,Current_Use,Repurposed_Use,Repurposed_Category
686,Penciclovir,DB00299,253.26,-1.31,4,6,130.05,5,Antiviral Agents,P04293,Herpes Labialis,herpes zoster disease; recurrent genital herpes simplex; recurrent herpes simplex labialis,Infection
687,Penicillamine,DB00859,149.22,0.11,3,3,63.32,2,Antirheumatic Agents,,Cystinuria,hepatolenticular degeneration; rheumatoid arthritis,Arthritis
688,Pentazocine,DB00652,285.43,3.88,1,2,23.47,2,"Analgesics, Opioid",P35372; P41145; Q99720,Labor Pain,pain,Pain
689,Pentosan Polysulfate,DB00686,602.5,-4.81,6,17,322.55,10,,P05230; P08620; P09038,Bladder pain,interstitial cystitis,Urinary
690,Pentostatin,DB00552,268.27,-1.18,4,7,112.13,2,Antineoplastic Agents,P00813,Hairy Cell Leukemia,,Others
691,Pentoxifylline,DB00806,278.31,0.19,0,4,78.89,5,Platelet Aggregation Inhibitors,O76074; P21589; P27815; P29274; P30542; Q07343,Peripheral Vascular Diseases,,Others
692,Peramivir,DB06614,328.41,-0.35,5,4,151.03,7,,,Influenza,,Others
693,Pergolide,DB01186,314.5,4.27,1,2,19.03,4,Dopamine Agonists,P08908; P08913; P14416; P18089; P18825; P21728; P21917; P21918; P25100; P28221; P28222; P28223; P28335; P35348; P35368; P35462; P41595,Parkinsonian Disorders,,Others
694,Perindopril,DB00790,368.47,1.94,2,5,95.94,8,Angiotensin-Converting Enzyme Inhibitors,P12821,Hypertensive disease,,Others
695,Perphenazine,DB00850,403.98,3.94,1,5,29.95,6,Antipsychotic Agents,P14416; P21728; P62158,Mixed anxiety and depressive disorder,nausea and vomiting; schizophrenia,Mental Health
696,Phenacemide,DB01121,178.19,0.42,2,2,72.19,2,,P35498,Epilepsy,epilepsy characterized by intractable complex partial seizures,Brain
697,Phenazopyridine,DB01438,213.24,2.66,2,5,89.65,2,,P35498,Dysuria,,Others
698,Phenindamine,DB01619,261.37,3.92,0,1,3.24,1,Histamine H1 Antagonists,P35367,Allergic Conjunctivitis,"allergic rhinitis (disorder); nasal congestion (finding); pruritus; rhinitis, vasomotor; rhinorrhea; sneezing; symptomatic dermographism; urticaria",Ear/Nose/Throat
699,Phenol,DB03255,94.11,1.39,1,1,20.23,0,"Anti-Infective Agents, Local",P00720; Q05603,Mouth irritation,pruritus; skin irritation,Skin
700,Phenoxymethylpenicillin,DB00417,350.4,0.7,2,5,95.94,5,Anti-Bacterial Agents,P24228,Acute otitis media,erysipelas; fusospirochetal pharyngitis; gingivostomatitis; infection of skin and/or subcutaneous tissue; infective otitis media; pharyngitis; scarlet fever; staphylococcus aureus infection; streptococcal tonsillitis; upper respiratory infections,Ear/Nose/Throat
701,Phenprocoumon,DB00946,280.32,4.04,1,3,50.44,3,Anticoagulants,Q9BQB6,Myocardial Infarction,thromboembolism; thrombosis,Heart
702,Phensuximide,DB00832,189.21,1.16,0,2,37.38,1,Anticonvulsants,,Absence Epilepsy,epilepsy,Brain
703,Phentolamine,DB00692,281.36,2.84,2,4,47.86,4,Antihypertensive Agents,P08913; P35348,Cerebral Ischemia,hypertensive emergency; paroxysmal hypertension; peripheral vascular diseases; pheochromocytoma,Heart
704,Phenylephrine,DB00388,167.21,0.65,3,3,52.49,3,Vasoconstrictor Agents,P25100; P35348; P35368,Allergic Conjunctivitis,"allergic rhinitis (disorder); common cold; coughing; fever; hay fever; headache disorders; hemorrhoids; influenza-like symptoms; mydriasis; nasal congestion (finding); proctitis; pruritus ani; rectal pain; redness of eye; rhinitis; rhinitis, vasomotor; rhinorrhea; sinus headache; sneezing",Pain
705,Phenylpropanolamine,DB00397,151.21,1.07,2,2,46.25,2,Sympathomimetics,P07550; P08588; P08913; P21728; P35348,Allergic Conjunctivitis,"allergic rhinitis (disorder); common cold; coughing; hay fever; influenza-like symptoms; nasal congestion (finding); rhinitis; rhinitis, vasomotor; rhinorrhea; sinus headache; sneezing",Pain
706,Phenytoin,DB00252,252.27,1.77,2,2,58.2,2,Anticonvulsants,P35498; Q14524,Bipolar disorder in remission,"epilepsies, partial; epilepsy; epilepsy characterized by intractable complex partial seizures; lennox-gastaut syndrome; motor cortex epilepsy; simple partial seizures; status epilepticus; tonic - clonic seizures; tonic-clonic epilepsy",Brain
707,Physostigmine,DB00981,275.35,1.77,1,4,44.81,1,Cholinesterase Inhibitors,P22303,"Glaucoma, Open-Angle",anticholinergic toxicity,Others
708,Pimozide,DB01100,461.56,5.86,1,2,41.03,7,Antipsychotic Agents,P14416; P35462; P62158; Q12809,Gilles de la Tourette syndrome,,Others
709,Pindolol,DB00960,248.33,1.91,3,3,57.28,6,,P07550; P08588; P08908; P28222,Hypertensive disease,,Others
710,Pioglitazone,DB01132,356.45,3.16,1,5,68.29,7,Hypoglycemic Agents,P37231,"Diabetes Mellitus, Non-Insulin-Dependent",,Others
711,Piperacillin,DB00319,517.56,-0.24,3,7,156.43,6,Anti-Bacterial Agents,P0A3M6; Q75Y35; Q7CRA4; Q8DNB6,Abdominal Abscess,"acute gonococcal cervicitis; acute gonococcal endometritis; acute gonococcal urethritis; appendicitis; arthropathy associated with infection; bacterial infection due to klebsiella pneumoniae; bacterial sepsis; diabetic foot infection; enterobacter pneumonia; enterobacteriaceae infections; escherichia coli infections; escherichia coli septicemia; escherichia coli urinary tract infection; female genital tract infection; gonorrhea; haemophilus influenzae pneumonia; infection due to pseudomonas aeruginosa; infection of bone; infection of skin and/or subcutaneous tissue; intraabdominal infections; klebsiella cystitis; lower respiratory tract infection; nosocomial pneumonia; pelvic inflammatory disease; peritonitis; pneumonia due to escherichia coli; pneumonia due to pseudomonas; pneumonia, bacterial; postoperative infection; proteus septicemia; proteus urinary tract infection; rhinoscleroma; sepsis due to gram negative bacteria; sepsis due to pseudomonas; septicemia due to bacteroides; septicemia due to enterococcus; serratia infections; serratia sepsis; staphylococcus aureus infection; streptococcal sepsis; urinary tract infection enterococcus; urinary tract infection",Infection
712,Pipotiazine,DB01621,475.68,4.02,1,6,64.09,8,Phenothiazines,P08908; P14416; P21728; P28223,Schizophrenia,,Others
713,Pirbuterol,DB01291,240.3,0.7,4,5,85.61,4,Adrenergic beta-2 Receptor Agonists,P07550; P08588,Asthma,asthma attack; bronchiectasis; bronchitis; lung diseases; pulmonary emphysema,Respiratory
714,Pirenzepine,DB00670,351.41,1.56,1,5,68.78,2,Anti-Ulcer Agents,P11229,Peptic Ulcer,,Others
715,Piroxicam,DB00554,331.35,1.58,2,5,99.6,2,"Anti-Inflammatory Agents, Non-Steroidal",P23219; P35354,Degenerative polyarthritis,rheumatoid arthritis,Arthritis
716,Pitavastatin,DB08860,421.47,4.52,3,4,90.65,8,Hypolipidemic Agents,P04035,Hypercholesterolemia,"hyperlipidemia, familial combined",Metabolic
717,Podofilox,DB01179,414.41,2.41,1,8,92.68,4,"Antineoplastic Agents, Phytogenic",P07437; P11388; P68366,Condylomata Acuminata,,Others
718,Polaprezinc,DB09221,289.61,-1.68,2,5,126.0,6,,,Peptic Ulcer,,Others
719,Polidocanol,DB06811,582.82,4.05,1,10,103.3,37,Sclerosing Solutions,,Varicosity,,Others
720,Polymyxin B Sulfate,DB00781,1203.5,-5.24,18,18,490.66,29,Anti-Bacterial Agents,,Bacterial conjunctivitis,bacterial keratitis; bacterial sepsis; blepharoconjunctivitis; corneal abrasion; infective blepharitis; keratitis; otitis externa; urinary tract infection; uveitis,Infection
721,Polythiazide,DB01324,439.89,1.66,2,6,109.57,4,,P55017,Hypertensive disease,,Others
722,Pomalidomide,DB08910,273.25,-0.33,2,5,109.57,1,Immunosuppressive Agents,P01375; P35354; Q96SW2,Multiple Myeloma,,Others
723,Ponatinib,DB08901,532.57,4.46,1,5,65.77,4,,P00519; P06239; P07948; P07949; P10721; P11274; P11362; P12931; P16234; P21802; P22455; P22607; P35968; P36888; Q02763,"Myeloid Leukemia, Chronic",philadelphia chromosome-positive acute lymphoblastic leukemia,Cancer
724,Posaconazole,DB01263,700.79,4.57,1,9,115.7,12,Antifungal Agents,P10613,Aspergillosis,candidiasis; chromoblastomycosis; coccidioidomycosis; fusariosis; mycetoma,Others
725,Potassium Citrate,DB09125,306.39,-14.24,1,7,140.62,5,,,Calcium renal calculus,hypokalemia; renal calculus calcium oxalate; renal tubular acidosis; uric acid renal calculus,Kidney
726,Pralatrexate,DB06813,477.48,0.98,5,9,207.3,10,,P00374; P04818,Peripheral T-Cell Lymphoma,,Others
727,Pralidoxime,DB00733,137.16,0.32,1,2,36.47,1,Cholinesterase Reactivators,P06276; P22303,Organophosphate poisoning,,Others
728,Pramipexole,DB00413,211.33,1.58,2,4,50.94,3,Antioxidants,P08908; P08913; P14416; P18089; P18825; P21728; P21917; P21918; P28221; P28222; P28223; P28335; P35462; P41595,Parkinson Disease,restless legs syndrome,Others
729,Pranlukast,DB01411,481.51,4.63,2,7,123.0,9,Anti-Asthmatic Agents,P01375; P05113; P12724; P19838; Q02817; Q9Y271,Allergic rhinitis (disorder),asthma,Respiratory
730,Prasugrel,DB06209,373.45,3.89,0,5,46.61,5,Platelet Aggregation Inhibitors,Q9H244,Acute Coronary Syndrome,,Others
731,Pravastatin,DB00175,424.53,2.44,4,6,124.29,10,Hydroxymethylglutaryl-CoA Reductase Inhibitors,P04035,Arteriosclerosis,"cerebrovascular accident; familial hypercholesterolemia - heterozygous; hypercholesterolemia; hyperlipidemia, familial combined; hyperlipoproteinemia type iii; hypertriglyceridemia",Metabolic
732,Praziquantel,DB01058,312.41,2.53,0,2,40.62,1,,,Opisthorchiasis,schistosomiasis,Others
733,Prednicarbate,DB01130,488.58,3.7,1,8,116.2,6,Anti-Inflammatory Agents,P04150,Chronic small plaque psoriasis,"contact dermatitis; dermatitis, atopic; exanthema; granuloma annulare; lichen simplex chronicus; lupus erythematosus, discoid; lymphoma, t-cell, cutaneous; pruritus ani; pruritus of genital organs; scalp psoriasis; seborrheic dermatitis",Skin
734,Prednisolone,DB00860,360.45,1.56,3,5,94.83,2,"Antineoplastic Agents, Hormonal",P04150,Acquired thrombocytopenia,"acute lymphocytic leukemia; addison disease; addisonian crisis; adrenal cortical hypofunction; adrenogenital disorder; allergic conjunctivitis; allergic rhinitis (disorder); anemia, diamond-blackfan; angioedema; ankylosing spondylitis; arthritis, gouty; arthritis, psoriatic; aspergillosis, allergic bronchopulmonary; aspiration pneumonitis; asthma; autoimmune diseases; autoimmune hemolytic anemia; bacterial conjunctivitis; bacterial keratitis; berylliosis; blepharoconjunctivitis; bursitis; cerebral edema; chronic small plaque psoriasis; congenital adrenal hyperplasia; contact dermatitis; cooley's anemia; corneal ulcer; corneal abrasion; crohn disease; cyclitis; dacryocystitis; dermatitis herpetiformis; dermatitis, atopic; dermatologic disorders; disorder of eye; eosinophilic pneumonia; epicondylitis; erythema multiforme; exacerbation of asthma; exanthema; exfoliative dermatitis; extrinsic allergic alveolitis; giant cell arteritis; granuloma annulare; herpes zoster keratitis; hodgkin disease; humoral hypercalcemia of malignancy (disorder); infective blepharitis; inflammatory bowel diseases; iridocyclitis; iritis; keratitis; laryngeal edema; lichen simplex chronicus; lupus erythematosus, discoid; lupus erythematosus, systemic; lymphoma, follicular; lymphoma, non-hodgkin; lymphoma, t-cell, cutaneous; meibomianitis; multiple sclerosis; musculoskeletal diseases; mycosis fungoides; nephrotic syndrome; ocular rosacea; ophthalmia, sympathetic; pemphigus; polymyalgia rheumatica; post traumatic osteoarthritis; pruritus ani; pruritus of genital organs; psoriasis; pulmonary fibrosis; punctate keratopathy; rheumatic heart disease; rheumatoid arthritis; rosacea; sarcoidosis; scalp psoriasis; seborrheic dermatitis; serum sickness; simple pulmonary eosinophilia; sjogren's syndrome; status asthmaticus; stevens-johnson syndrome; synovitis; tendinitis; tenosynovitis; thyroiditis; transplanted organ rejection; tuberculosis, miliary; ulcerative colitis; uveitis",Stomach
735,Prednisone,DB00635,358.43,1.77,2,5,91.67,2,"Antineoplastic Agents, Hormonal",P04150; P28845,Acquired thrombocytopenia,"acute lymphocytic leukemia; addison disease; adrenal cortical hypofunction; adrenogenital disorder; allergic rhinitis (disorder); anemia, diamond-blackfan; angioedema; ankylosing spondylitis; arthritis, gouty; arthritis, psoriatic; asthma; autoimmune diseases; autoimmune hemolytic anemia; berylliosis; chronic lymphocytic leukemia; contact dermatitis; cooley's anemia; crohn disease; dermatitis herpetiformis; dermatologic disorders; diffuse large b-cell lymphoma; epicondylitis; erythema multiforme; exacerbation of asthma; exfoliative dermatitis; hodgkin disease; humoral hypercalcemia of malignancy (disorder); inflammatory bowel diseases; laryngeal edema; lupus erythematosus, systemic; lymphoma, follicular; lymphoma, non-hodgkin; lymphoma, t-cell, cutaneous; multiple sclerosis; musculoskeletal diseases; mycosis fungoides; nephrotic syndrome; pemphigus; psoriasis; rheumatic heart disease; rheumatoid arthritis; sarcoidosis; serum sickness; simple pulmonary eosinophilia; thyroiditis; transplanted organ rejection; trichinellosis",Arthritis
736,Pregabalin,DB00230,159.23,1.08,2,2,63.32,5,Analgesics,O00555,Diabetic peripheral neuropathy,fibromyalgia; generalized anxiety disorder; postherpetic neuralgia,Mental Health
737,Prilocaine,DB00750,220.32,2.32,2,2,41.13,5,"Anesthetics, Local",Q14524,Premature Ejaculation,,Others
738,Primaquine,DB01087,259.35,2.78,2,4,60.17,6,Antimalarials,P08729; P16083,"Malaria, Vivax",,Others
739,Primidone,DB00794,218.26,0.54,2,2,58.2,2,Anticonvulsants,P14867; P31644; P34903; P36544; P42262; P43681; P47869; P48169; Q13002; Q16445,Bipolar disorder in remission,"epilepsies, partial; epilepsy; epilepsy characterized by intractable complex partial seizures; lennox-gastaut syndrome; simple partial seizures; tonic - clonic seizures; tonic-clonic epilepsy",Brain
740,Probucol,DB01599,516.86,9.91,2,4,40.46,4,Antioxidants,O95477; P23141,Hypercholesterolemia,hyperlipidemia,Metabolic
741,Procaine benzylpenicillin,DB09320,570.71,2.63,3,8,142.27,10,,,Acute otitis media,"anthrax disease; bejel; erysipelas; fusospirochetal pharyngitis; gingivostomatitis; infection of skin and/or subcutaneous tissue; neurosyphilis; pharyngitis; pinta; primary genital syphilis; rat-bite fever; scarlet fever; staphylococcus aureus infection; streptococcal infections; streptococcal endocarditis; streptococcal pneumonia; streptococcal tonsillitis; streptococcus pyogenes infection; syphilis; syphilis, congenital; syphilis, latent; syphilis, secondary; syphilis, tertiary; yaws",Ear/Nose/Throat
742,Procarbazine,DB01168,221.3,1.05,3,3,53.16,5,Antineoplastic Agents,,Hodgkin Disease,,Others
743,Procyclidine,DB00387,287.45,3.94,1,2,23.47,5,Antiparkinson Agents,P08172; P08173; P11229; P20309,Extrapyramidal Disorders,"parkinson disease; parkinson disease, postencephalitic; parkinsonian disorders",Brain
744,Progesterone,DB00396,314.47,4.72,0,2,34.14,1,Progestins,P03372; P05093; P06401; P08235; P41145,Atrophic Vaginitis,endometrial carcinoma; endometriosis; hot flushes; metrorrhagia; secondary malignant neoplasm of kidney; secondary physiologic amenorrhea,Cancer
745,Proguanil,DB01131,253.74,1.79,3,1,88.79,2,,P00374,"Malaria, Falciparum",,Others
746,Propafenone,DB01182,341.45,3.24,2,4,58.56,11,Anti-Arrhythmia Agents,Q12809; Q14524,Paroxysmal atrial fibrillation,paroxysmal atrial flutter; paroxysmal supraventricular tachycardia,Others
747,Propantheline,DB00782,368.5,4.73,0,3,35.53,6,Anti-Ulcer Agents,P11229,Peptic Ulcer,,Others
748,Propranolol,DB00571,259.35,2.58,2,3,41.49,6,Antihypertensive Agents,P07550; P08588; P08908; P13945; P28222,Angina Pectoris,atrial fibrillation; hemangioma; hypertensive disease; hypertrophic cardiomyopathy; idiopathic hypertrophic subaortic stenosis; supraventricular tachycardia,Heart
749,Propylthiouracil,DB00550,170.24,1.38,2,2,48.65,2,Antimetabolites,P07202,Hyperthyroidism,thyroid crisis,Endocrine
750,Prucalopride,DB06480,367.88,2.09,2,5,76.82,6,,,Constipation,,Others
751,Pseudoephedrine,DB00852,165.24,1.33,2,2,32.26,3,,O95644; P01375; P07550; P08588; P08913; P23975; P31645; P35348; P60568; Q01959,Allergic Conjunctivitis,"allergic rhinitis (disorder); common cold; hay fever; headache disorders; influenza-like symptoms; nasal congestion (finding); rhinitis; rhinitis, vasomotor; rhinorrhea; sinus headache",Pain
752,Pyrazinamide,DB00339,123.11,-0.42,1,3,68.87,1,Antitubercular Agents,,Acute tuberculosis,"tuberculosis, meningeal; tuberculosis, pulmonary",Infection
753,Pyridoxine,DB00165,169.18,0.08,3,4,73.58,2,Vitamin B Complex,O00764,Breastfeeding (mother),"epilepsy, pyridoxine-dependent; vitamin b 6 deficiency",Brain
754,Pyrimethamine,DB00205,248.72,2.52,2,4,77.82,2,Antimalarials,P00374,Malaria,toxoplasmosis; toxoplasmosis associated with aids,Infection
755,Quazepam,DB01589,386.8,5.03,0,2,15.6,2,Hypnotics and Sedatives,A8MPY1; O00591; O14764; P14867; P18505; P18507; P24046; P28472; P28476; P31644; P34903; P47869; P78334; Q8N1C3; Q99928,Sleeplessness,,Others
756,Quetiapine,DB01224,383.52,2.86,1,6,48.3,5,Antipsychotic Agents,P08172; P08173; P08908; P08912; P08913; P11229; P14416; P18089; P18825; P20309; P21728; P21917; P21918; P25100; P28221; P28222; P28223; P28335; P28566; P34969; P35348; P35367; P35368; P35462; P46098; P50406,Bipolar Disorder,"bipolar affective disorder, current episode manic; bipolar disorder in remission; depression, bipolar; schizophrenia",Mental Health
757,Quinapril,DB00881,438.52,2.57,2,5,95.94,9,Angiotensin-Converting Enzyme Inhibitors,P12821,Chronic heart failure,hypertensive disease,Others
758,Quinestrol,DB04575,364.53,5.23,1,2,29.46,2,Estrogens,P03372,Atrophic Vaginitis,female hypogonadism syndrome; hot flushes,Others
759,Quinidine,DB00908,324.42,3.17,1,4,45.59,4,Anti-Arrhythmia Agents,O00180; Q12809; Q14524; Q9Y257,Pseudobulbar affect,,Others
760,Quinine,DB00468,324.42,3.17,1,4,45.59,4,Antimalarials,O15554; P14770,"Malaria, Falciparum",,Others
761,Quinupristin,DB01369,1022.24,2.32,4,14,231.2,10,Anti-Bacterial Agents,P0A7J6; P61177,Streptococcus pyogenes infection,,Others
762,Rabeprazole,DB01129,359.45,2.99,1,5,77.1,8,Enzyme Inhibitors,P20648,Duodenal Ulcer,"gastroesophageal reflux disease; mastocytosis, systemic; multiple endocrine neoplasia; peptic ulcer; zollinger-ellison syndrome",Stomach
763,Raloxifene,DB00481,473.59,6.08,2,6,70.0,7,Bone Density Conservation Agents,P03372; Q92731,"Osteoporosis, Postmenopausal",,Others
764,Ramelteon,DB00980,259.35,2.57,1,2,38.33,4,,P48039; P49286,Initial insomnia,,Others
765,Ramipril,DB00178,416.52,2.38,2,5,95.94,9,Angiotensin-Converting Enzyme Inhibitors,P12821,Cerebrovascular accident,chronic heart failure; hypertensive disease,Heart
766,Ramosetron,DB09290,279.34,2.89,1,2,50.68,2,,,Diarrhoea predominant irritable bowel syndrome,irritable bowel syndrome with diarrhea,Stomach
767,Ranolazine,DB00243,427.55,2.31,2,6,74.27,9,,Q14524; Q15858,Angina Pectoris,,Others
768,Regorafenib,DB08896,482.82,5.69,3,4,92.35,5,Antineoplastic Agents,P00519; P04049; P04629; P07949; P09619; P10721; P11362; P15056; P16234; P17948; P21802; P29317; P35916; P35968; P42685; Q02763; Q15759; Q16832,Gastrointestinal Stromal Tumors,metastasis from malignant tumor of colon,Cancer
769,Repaglinide,DB00912,452.6,5.22,2,4,78.87,10,Hypoglycemic Agents,P37231; Q09428,"Diabetes Mellitus, Non-Insulin-Dependent",,Others
770,Reserpine,DB00206,608.69,4.17,1,10,117.78,8,Antihypertensive Agents,P54219; Q05940,Hypertensive disease,psychotic disorders,Others
771,Retapamulin,DB01256,517.78,5.25,1,6,66.84,5,Anti-Bacterial Agents,Q9A1X4,Impetigo,superficial bacterial infection of skin,Infection
772,Ribavirin,DB00811,244.21,-3.01,4,7,143.72,3,Antiviral Agents,P20839; P22413; P26676; P49902; P55263,"Hepatitis C, Chronic",respiratory syncytial virus infections,Infection
773,Riboflavin,DB00140,376.37,-1.72,5,8,161.56,5,Vitamin B Complex,P0AFU8; P30043; Q969G6,Mineral deficiency,vitamin deficiency,Others
774,Rifabutin,DB00615,847.02,4.62,5,14,205.55,4,Anti-Bacterial Agents,P07900; P0A7Z4; P0A8T7; P0A8V2; P14625,Pulmonary Mycobacterium avium complex infection,,Others
775,Rifampicin,DB01045,822.95,4.34,6,15,220.15,4,Enzyme Inhibitors,O75469; P0A8T7; P0A8V2,Acute tuberculosis,"meningococcus carrier; tuberculosis, pulmonary",Infection
776,Rifapentine,DB01201,877.04,5.65,6,15,220.15,5,Leprostatic Agents,,"Tuberculosis, Pulmonary",,Others
777,Rifaximin,DB01220,785.89,6.16,5,12,198.38,2,Gastrointestinal Agents,O75469; P0A8V2,Diarrhoea predominant irritable bowel syndrome,hepatic encephalopathy; irritable bowel syndrome with diarrhea,Stomach
778,Rilpivirine,DB08864,366.43,4.99,2,6,97.42,5,,O75469,HIV Infections,,Others
779,Riluzole,DB00740,234.2,2.78,1,4,48.14,1,,Q14524; Q9UPY5,Amyotrophic Lateral Sclerosis,,Others
780,Rimexolone,DB00896,370.53,4.5,1,3,54.37,2,Corticosteroids,P04150,Uveitis,,Others
781,Rimonabant,DB06155,463.8,5.94,1,3,50.16,4,,P21554,Obesity,,Others
782,Riociguat,DB08931,422.42,2.44,2,8,138.07,4,,,Chronic thromboembolic pulmonary hypertension,pulmonary arterial hypertension,Heart
783,Risedronate,DB00884,283.11,-0.37,5,4,148.18,4,Bone Density Conservation Agents,P14324,Osteitis Deformans,"osteoporosis; osteoporosis, postmenopausal",Bone
784,Ritodrine,DB00867,287.36,2.35,4,4,72.72,6,Sympathomimetics,P07550,Premature Obstetric Labor,,Others
785,Ritonavir,DB00503,720.96,5.91,4,9,145.78,17,,,HIV Infections,"hepatitis c, chronic",Infection
786,Rizatriptan,DB00953,269.35,1.91,1,3,49.74,5,Serotonin Antagonists,P28221; P28222; P30939,Migraine Disorders,,Others
787,Roflumilast,DB01656,403.21,5.03,1,4,60.45,7,,P27815; Q07343; Q08493; Q08499,Severe chronic obstructive pulmonary disease,,Others
788,Rolapitant,DB09291,500.48,5.73,2,3,50.36,5,,,Chemotherapy-induced nausea and vomiting,,Others
789,Ropinirole,DB00268,260.38,2.85,1,2,32.34,7,Antiparkinson Agents,P08908; P08913; P14416; P18089; P18825; P21728; P21917; P21918; P28221; P28222; P28223; P28335; P35462; P41595,Parkinson Disease,restless legs syndrome,Others
790,Rosuvastatin,DB01098,481.55,2.4,3,7,140.92,10,Hydroxymethylglutaryl-CoA Reductase Inhibitors,P04035,Arteriosclerosis,"cerebrovascular accident; familial hypercholesterolemia - heterozygous; familial hypercholesterolemia - homozygous; hypercholesterolemia; hyperlipidemia, familial combined; hyperlipoproteinemia type iii; hypertriglyceridemia",Metabolic
791,Rotigotine,DB05271,315.48,4.27,1,3,23.47,6,Antidyskinetics,P08908; P14416; P18089; P21728; P21917; P21918; P35462,Parkinson Disease,restless legs syndrome,Others
792,Roxatidine acetate,DB08806,348.44,2.12,1,5,67.87,9,Anti-Ulcer Agents,P25021,Gastric ulcer,gastroesophageal reflux disease; zollinger-ellison syndrome,Stomach
793,Rufinamide,DB06201,238.2,0.7,1,3,73.8,3,,P41594; Q15858,Lennox-Gastaut syndrome,,Others
794,Ruxolitinib,DB08877,306.37,3.47,1,4,83.18,4,,O60674; P23458,Myelofibrosis,myeloproliferative disease,Others
795,Sacubitril,DB09292,411.5,3.84,2,4,92.7,11,,,Chronic heart failure,,Others
796,Salbutamol,DB01001,239.31,1.31,4,4,72.72,4,Adrenergic beta-2 Receptor Agonists,P07550; P08588,Asthma attack,bronchial spasm,Others
797,Salicylamide,DB08797,137.14,0.49,2,2,63.32,1,"Anti-Inflammatory Agents, Non-Steroidal",,Arthralgia,back pain; fever; headache disorders; pain,Pain
798,Salicylic acid,DB00936,138.12,1.09,2,2,57.53,1,Antifungal Agents,P23219; P35354; Q04828,Acne Vulgaris,allergic rhinitis (disorder); arthralgia; arthritic pains; back pain; common cold; corns and callus; degenerative polyarthritis; disorder of keratinization; fever; greasy skin; headache disorders; hyperkeratosis; influenza-like symptoms; migraine disorders; myocardial infarction; pain; plantar wart; rheumatoid arthritis; scurfiness of scalp; seborrheic dermatitis; sinus headache; synovitis; tinea pedis; tinea corporis (disorder); toothache,Pain
799,Salmeterol,DB00938,415.57,4.11,4,5,81.95,16,Sympathomimetics,P07550,Allergic asthma,intrinsic asthma; pulmonary emphysema,Respiratory
800,Salsalate,DB01399,258.23,2.31,2,4,83.83,3,"Anti-Inflammatory Agents, Non-Steroidal",P23219; P35354,Degenerative polyarthritis,rheumatoid arthritis,Arthritis
801,Saquinavir,DB01232,670.86,3.09,5,7,166.75,12,HIV Protease Inhibitors,,HIV Infections,,Others
802,Saxagliptin,DB06335,315.42,1.16,2,4,90.35,2,Dipeptidyl-Peptidase IV Inhibitors,P27487,"Diabetes Mellitus, Non-Insulin-Dependent",,Others
803,Scopolamine,DB00747,303.36,0.92,1,5,62.3,4,Muscarinic Antagonists,P08172; P08173; P08912; P11229; P14410; P20309,Allergic rhinitis (disorder),"common cold; coughing; cycloplegia; iridocyclitis; irritable bowel syndrome; motion sickness; mydriasis; nasal congestion (finding); peptic ulcer; posterior synechiae; rhinitis, vasomotor; rhinorrhea; uveitis",Stomach
804,Scopolamine butylbromide,DB09300,440.38,-0.76,1,4,59.06,7,,,Gastric spasm (disorder),,Others
805,Selexipag,DB11362,496.63,3.9,1,7,101.49,12,,,Pulmonary arterial hypertension,,Others
806,Sertindole,DB06144,440.95,4.63,1,2,40.51,5,Antipsychotic Agents,P14416; P25100; P28223; P28335; P35348; P35368; P50406; Q12809,Schizophrenia,,Others
807,Sildenafil,DB00203,474.59,1.61,1,7,113.42,7,,O76074; P18545; Q13956,Erectile dysfunction,pulmonary arterial hypertension,Heart
808,Silodosin,DB06207,495.54,3.07,3,6,97.05,13,Adrenergic alpha-1 Receptor Antagonists,P25100; P35348; P35368,Prostatic Hypertrophy,,Others
809,Silver sulfadiazine,DB05245,357.14,1.45,1,5,100.04,3,Anti-Bacterial Agents,,Skin Ulcer,,Others
810,Simeprevir,DB06290,749.96,5.25,2,10,156.89,8,Protease Inhibitors,,"Hepatitis C, Chronic",,Others
811,Simvastatin,DB00641,418.57,4.59,1,5,72.83,6,Anticholesteremic Agents,P04035; P05107,Arteriosclerosis,"cerebrovascular accident; familial hypercholesterolemia - heterozygous; familial hypercholesterolemia - homozygous; hypercholesterolemia; hyperlipidemia, familial combined; hyperlipoproteinemia type iii; hypertriglyceridemia; hypoalphalipoproteinemias",Metabolic
812,Sirolimus,DB00877,914.19,6.18,3,13,195.43,6,Immunosuppressive Agents,P09038; P42345; P62942,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",pulmonary lymphangioleiomyomatosis; renal cell carcinoma,Cancer
813,Sitaxentan,DB06268,454.91,3.96,1,8,107.73,6,,P24530; P25101,Pulmonary arterial hypertension,,Others
814,Sodium Citrate,DB09154,258.07,-14.24,1,7,140.62,5,,,Common Cold,coughing; dyspepsia; gastroesophageal reflux disease; heartburn; nasal congestion (finding); peptic ulcer; rhinitis; rhinorrhea,Stomach
815,Sofosbuvir,DB08934,529.46,1.66,3,9,158.18,10,Antiviral Agents,,"Hepatitis C, Chronic",,Others
816,Sonidegib,DB09143,681.49,4.35,7,7,222.7,5,,,Basal cell carcinoma,,Others
